"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"TRINITY_DN10378_c0_g1",1.01910092516868,-0.935469720032132,2.15166662582374,-0.434765176354399,0.663732884256571,NA
"TRINITY_DN10379_c0_g1",0.860073470374347,1.40286589826564,2.59450450099126,0.540706673559312,0.588709777918152,NA
"TRINITY_DN1038_c0_g1",1.01282687846349,-0.053030920048957,2.25769269217196,-0.0234889895479707,0.981260221131238,NA
"TRINITY_DN1038_c0_g2",1.16529348870813,0.374139362295288,2.14024100859864,0.174811790257333,0.861227523710227,NA
"TRINITY_DN10380_c0_g1",1.87602761679525,-1.34042040192383,1.59399587256295,-0.840918364342185,0.400393669632942,NA
"TRINITY_DN10381_c0_g1",0.437484683408664,-2.08286785858175,3.55479588335075,-0.58593177412438,0.55792136389507,NA
"TRINITY_DN10382_c0_g1",0.42235923750389,-0.487715940276327,3.36495694077016,-0.144939726974545,0.884758460006799,NA
"TRINITY_DN10383_c0_g1",1.58009630768533,0.670735184560363,1.61176927913836,0.416148386274576,0.677301425236555,NA
"TRINITY_DN10384_c0_g1",0.706604249072962,2.11144484725413,2.69881150941974,0.78236099108237,0.434002452193871,NA
"TRINITY_DN10385_c0_g1",0.427372104175096,-0.482401819786271,3.3512514340351,-0.143946770119075,0.885542503030125,NA
"TRINITY_DN10386_c0_g1",0.293887580309224,-1.51408937232975,3.81394903172402,-0.396987311507238,0.691376817395649,NA
"TRINITY_DN10387_c0_g1",0.570632299553102,0.364865001347268,3.01401030827086,0.121056321654252,0.903646424937405,NA
"TRINITY_DN10388_c0_g1",0.293887580309224,-1.51408937232975,3.81394903172402,-0.396987311507238,0.691376817395648,NA
"TRINITY_DN10389_c0_g1",0.437550293608648,2.44725580814198,3.72170881065296,0.657562408197276,0.510819356729519,NA
"TRINITY_DN1039_c0_g1",0.301580876098763,-1.52237678933332,3.81337864421309,-0.399219938896856,0.689731152790457,NA
"TRINITY_DN1039_c0_g2",2.62949118144447,-1.02503029611509,1.71083060697023,-0.599141897473038,0.549078264422733,NA
"TRINITY_DN10390_c0_g1",0.452371314148145,-2.12599672253002,3.76807901517015,-0.5642123516972,0.57260962273523,NA
"TRINITY_DN10391_c0_g1",0.591210422222884,-2.51516548690404,3.18005339677648,-0.790919262378921,0.428991107114732,NA
"TRINITY_DN10392_c0_g1",0.428641109679302,-2.05741673108434,3.58147160243688,-0.574461271641647,0.565655700745006,NA
"TRINITY_DN10393_c0_g1",0.452371314148145,-2.12599672253002,3.76807901517015,-0.564212351697199,0.57260962273523,NA
"TRINITY_DN10396_c0_g1",2.55829459119835,-1.89206877690923,1.65156463063429,-1.14562200098859,0.25195158990954,NA
"TRINITY_DN10397_c0_g1",1.27473474327289,0.713906185803017,2.05224812238568,0.347865434990931,0.727941244816218,NA
"TRINITY_DN10398_c0_g1",0.447170002196219,-0.555990781533727,3.57647415489953,-0.155457793752559,0.876460425071003,NA
"TRINITY_DN10399_c0_g1",0.440831370463835,-2.09302402147116,3.77013331933389,-0.555159153321653,0.578785805087555,NA
"TRINITY_DN1040_c2_g1",0.753952190246908,-2.8637419385562,3.18907022375803,-0.897986478071825,0.369192758429536,NA
